"Name","Market Cap","P/E","Forward P/E","Float Short","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year To Date)"
"Software - Application",2609496.72,98.81,67.42,5.36%,4.61%,5.63%,15.07%,6.00%,9.29%
"Software - Infrastructure",3907024.64,45.51,34.16,3.41%,1.06%,4.80%,18.56%,22.89%,28.59%
"Solar",78638.65,52.26,45.76,10.13%,5.52%,0.03%,13.46%,-17.74%,-15.48%
"Specialty Business Services",173036.42,41.08,24.29,2.81%,1.80%,-4.11%,0.89%,2.58%,-2.33%
"Specialty Chemicals",585249.49,32.72,20.59,3.88%,1.92%,3.99%,3.28%,16.92%,19.88%
"Specialty Industrial Machinery",1303594.48,34.08,23.07,1.73%,2.41%,1.54%,4.01%,14.20%,21.46%
"Specialty Retail",326099.57,21.93,20.17,9.25%,2.48%,1.98%,3.07%,12.68%,25.86%
"Staffing & Employment Services",204842.56,37.20,27.43,2.32%,0.78%,1.04%,7.89%,17.13%,23.62%
"Steel",184760.90,6.58,6.84,3.12%,4.74%,-0.82%,3.95%,41.06%,53.31%
"Telecom Services",1181790.79,20.28,13.55,1.52%,-0.07%,-1.61%,-2.00%,3.21%,2.46%
"Textile Manufacturing",3174.54,22.05,20.42,1.29%,3.41%,-6.14%,-11.47%,-7.42%,9.82%
"Thermal Coal",5276.46,27.65,16.18,6.36%,15.53%,12.39%,52.89%,75.94%,138.96%
"Tobacco",348564.56,15.91,11.40,0.70%,1.86%,1.22%,-1.03%,4.40%,1.40%
"Tools & Accessories",82222.29,21.24,17.84,4.37%,2.39%,-0.76%,-5.25%,6.99%,14.40%
"Travel Services",224430.67,35.45,11.93,7.23%,9.59%,2.00%,-13.97%,-10.52%,2.55%
"Trucking",86605.34,25.92,22.14,5.22%,6.69%,7.73%,9.30%,25.14%,45.26%
"Uranium",12446.14,,132.28,4.28%,12.43%,-0.72%,-10.55%,12.13%,39.82%
"Utilities - Diversified",344742.29,24.35,21.40,1.01%,-1.33%,2.17%,1.61%,13.63%,9.24%
"Utilities - Independent Power Producers",33771.30,32.14,10.49,1.78%,7.38%,12.48%,27.69%,18.82%,16.54%
"Utilities - Regulated Electric",775643.78,22.95,19.56,1.52%,-1.82%,1.83%,3.80%,13.06%,5.80%
"Utilities - Regulated Gas",76087.95,20.43,17.96,3.02%,-0.92%,-1.52%,-4.31%,5.93%,2.18%
"Utilities - Regulated Water",61790.93,34.70,38.12,1.60%,-1.09%,2.99%,10.26%,20.90%,11.23%
"Utilities - Renewable",63392.05,32.38,42.18,2.44%,1.89%,1.13%,5.40%,-3.01%,-11.05%
"Waste Management",172785.78,47.33,32.14,1.86%,1.11%,4.70%,8.20%,28.89%,26.56%
